	Lat	log
DS2017m1s	23.726601	117.495277
DS2017m2s	23.726438	117.494877
DS2017m3s	23.726257	117.494372
DS2017m1j	23.726331	117.495437
DS2017m02j	23.726225	117.495022
DS2017m3j	23.725963	117.494489
DS2017j11s	23.672505	117.472405
DS2017j12s	23.672926	117.472329
DS2017j13s	23.673479	117.472141
DS2017j21s	23.690361	117.4717
DS2017j22s	23.690811	117.471754
DS2017j23s	23.69123	117.471854
DS2017j31s	23.704283	117.477824
DS2017j32s	23.704624	117.478134
DS2017j33s	23.704943	117.478457
DS2017j11j	23.67257	117.472732
DS2017j12j	23.673009	117.472661
DS2017j13j	23.673561	117.472539
DS2017j21j	23.6903	117.472219
DS2017j22j	23.690747	117.472106
DS2017j23j	23.691196	117.472211
DS2017j31j	23.704079	117.47808
DS2017j32j	23.704447	117.478378
DS2017j33j	23.704732	117.478722
