BRAY_beta_div_abund_stoch	BRAY_AbundanceNullDeviation	SampleID	Site	Environment
DS2017j11j	0.623743376634221	0.440443377427808	DS2017m1s	ML1	backshore
DS2017j11s	0.773788262062089	0.590488262855676	DS2017m2s	ML1	backshore
DS2017j12j	0.60830003905606	0.425000039849647	DS2017m3s	ML1	backshore
DS2017j12s	0.771286603553352	0.587986604346939	DS2017m1j	ML1	intertidal
DS2017j13j	0.63953202042564	0.456232021219227	DS2017m02j	ML1	intertidal
DS2017j13s	0.728188248003074	0.544888248796661	DS2017m3j	ML1	intertidal
DS2017j21j	0.652921710884193	0.46962171167778	DS2017j11s	JL1	backshore
DS2017j21s	0.713545376223178	0.530245377016765	DS2017j12s	JL1	backshore
DS2017j22j	0.635683408058441	0.452383408852028	DS2017j13s	JL1	backshore
DS2017j22s	0.764885802482658	0.581585803276245	DS2017j21s	JL2	backshore
DS2017j23j	0.651319758428688	0.468019759222275	DS2017j22s	JL2	backshore
DS2017j23s	0.666597836767249	0.483297837560836	DS2017j23s	JL2	backshore
DS2017j31j	0.659765084012385	0.476465084805972	DS2017j31s	JL3	backshore
DS2017j31s	0.735509612010414	0.552209612804001	DS2017j32s	JL3	backshore
DS2017j32j	0.653330357543975	0.470030358337562	DS2017j33s	JL3	backshore
DS2017j32s	0.727493296552353	0.54419329734594	DS2017j11j	JL1	intertidal
DS2017j33j	0.659346040208107	0.476046041001694	DS2017j12j	JL1	intertidal
DS2017j33s	0.777964787725676	0.594664788519263	DS2017j13j	JL1	intertidal
DS2017m02j	0.650494321918897	0.467194322712484	DS2017j21j	JL2	intertidal
DS2017m1j	0.67153886066538	0.488238861458967	DS2017j22j	JL2	intertidal
DS2017m1s	0.885113727202894	0.701813727996481	DS2017j23j	JL2	intertidal
DS2017m2s	0.798479959631627	0.615179960425214	DS2017j31j	JL3	intertidal
DS2017m3j	0.668961230515032	0.485661231308619	DS2017j32j	JL3	intertidal
DS2017m3s	0.848385965802234	0.665085966595822	DS2017j33j	JL3	intertidal
