BRAY_beta_div_abund_stoch	BRAY_AbundanceNullDeviation	SampleID	Site	Environment
DS2017j11j	0.770737689165947	0.65074342894191	DS2017m1s	ML1	backshore
DS2017j11s	0.87623816225337	0.756243902029333	DS2017m2s	ML1	backshore
DS2017j12j	0.766554983281929	0.646560723057892	DS2017m3s	ML1	backshore
DS2017j12s	0.9288773674213	0.808883107197263	DS2017m1j	ML1	intertidal
DS2017j13j	0.783910896733608	0.663916636509572	DS2017m02j	ML1	intertidal
DS2017j13s	0.836231255217216	0.716236994993179	DS2017m3j	ML1	intertidal
DS2017j21j	0.784167337345134	0.664173077121098	DS2017j11s	JL1	backshore
DS2017j21s	0.963223070686328	0.843228810462291	DS2017j12s	JL1	backshore
DS2017j22j	0.862623301566378	0.742629041342341	DS2017j13s	JL1	backshore
DS2017j22s	0.870646269338597	0.75065200911456	DS2017j21s	JL2	backshore
DS2017j23j	0.807481628532089	0.687487368308053	DS2017j22s	JL2	backshore
DS2017j23s	0.890795610641721	0.770801350417684	DS2017j23s	JL2	backshore
DS2017j31j	0.818394250283945	0.698399990059908	DS2017j31s	JL3	backshore
DS2017j31s	0.841449409828077	0.721455149604041	DS2017j32s	JL3	backshore
DS2017j32j	0.784154928398751	0.664160668174715	DS2017j33s	JL3	backshore
DS2017j32s	0.900151527995854	0.780157267771817	DS2017j11j	JL1	intertidal
DS2017j33j	0.827586330485708	0.707592070261671	DS2017j12j	JL1	intertidal
DS2017j33s	0.922189928480777	0.80219566825674	DS2017j13j	JL1	intertidal
DS2017m02j	0.810845009813434	0.690850749589397	DS2017j21j	JL2	intertidal
DS2017m1j	0.804660551493485	0.684666291269449	DS2017j22j	JL2	intertidal
DS2017m1s	0.952199628352937	0.8322053681289	DS2017j23j	JL2	intertidal
DS2017m2s	0.960737309745729	0.840743049521693	DS2017j31j	JL3	intertidal
DS2017m3j	0.814368529515001	0.694374269290965	DS2017j32j	JL3	intertidal
DS2017m3s	0.957049425438264	0.837055165214228	DS2017j33j	JL3	intertidal
