BRAY_beta_div_abund_stoch	BRAY_AbundanceNullDeviation	SampleID	Site	Environment
DS2017j11j	0.737967549446882	0.484276388982683	DS2017m1s	ML1	backshore
DS2017j11s	0.868139607524522	0.614448447060323	DS2017m2s	ML1	backshore
DS2017j12j	0.730699009894833	0.477007849430634	DS2017m3s	ML1	backshore
DS2017j12s	0.872421183539302	0.618730023075103	DS2017m1j	ML1	intertidal
DS2017j13j	0.767823914715199	0.514132754251	DS2017m02j	ML1	intertidal
DS2017j13s	0.843275974066526	0.589584813602327	DS2017m3j	ML1	intertidal
DS2017j21j	0.758647415422553	0.504956254958354	DS2017j11s	JL1	backshore
DS2017j21s	0.849976010514116	0.596284850049916	DS2017j12s	JL1	backshore
DS2017j22j	0.74480908709437	0.491117926630171	DS2017j13s	JL1	backshore
DS2017j22s	0.861012040042819	0.60732087957862	DS2017j21s	JL2	backshore
DS2017j23j	0.752389190550307	0.498698030086108	DS2017j22s	JL2	backshore
DS2017j23s	0.79469716047514	0.541006000010941	DS2017j23s	JL2	backshore
DS2017j31j	0.755558379574977	0.501867219110778	DS2017j31s	JL3	backshore
DS2017j31s	0.845173775382944	0.591482614918745	DS2017j32s	JL3	backshore
DS2017j32j	0.745897799215375	0.492206638751176	DS2017j33s	JL3	backshore
DS2017j32s	0.848695043570389	0.59500388310619	DS2017j11j	JL1	intertidal
DS2017j33j	0.752839845784921	0.499148685320721	DS2017j12j	JL1	intertidal
DS2017j33s	0.884076897805291	0.630385737341092	DS2017j13j	JL1	intertidal
DS2017m02j	0.780163173285115	0.526472012820916	DS2017j21j	JL2	intertidal
DS2017m1j	0.784741055798618	0.531049895334419	DS2017j22j	JL2	intertidal
DS2017m1s	0.930413025048035	0.676721864583836	DS2017j23j	JL2	intertidal
DS2017m2s	0.893631293591358	0.639940133127159	DS2017j31j	JL3	intertidal
DS2017m3j	0.792213493729582	0.538522333265383	DS2017j32j	JL3	intertidal
DS2017m3s	0.923008980875728	0.669317820411528	DS2017j33j	JL3	intertidal
