"","DS2017j11j","DS2017j11s","DS2017j12j","DS2017j12s","DS2017j13j","DS2017j13s","DS2017j21j","DS2017j21s","DS2017j22j","DS2017j22s","DS2017j23j","DS2017j23s","DS2017j31j","DS2017j31s","DS2017j32j","DS2017j32s","DS2017j33j","DS2017j33s","DS2017m02j","DS2017m1j","DS2017m1s","DS2017m2s","DS2017m3j","DS2017m3s","Kingdom","Phylum","Class","Order","Family","Genus"
"6",448,0,426,0,131,11,120,566,302,11,58,570,57,0,340,0,71,0,976,574,0,0,1135,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter"
"24",99,0,152,0,62,0,31,79,49,0,33,48,7,0,83,0,12,0,41,47,0,0,35,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella"
"39",7,75,12,95,3,90,0,2,0,13,0,6,0,14,4,9,0,8,6,2,75,9,0,12,"Bacteria","Deltaproteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"14",404,260,971,198,730,309,752,627,1045,157,1068,413,941,281,863,232,865,140,1274,713,38,140,1023,98,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Blastopirellula"
"16",35,0,116,0,131,0,125,36,160,21,140,44,95,11,81,0,129,20,23,21,0,0,20,3,"Bacteria","Calditrichaeota","Calditrichia","Calditrichales","Calditrichaceae","Calorithrix"
"8",0,144,0,35,0,64,0,0,0,2,0,0,0,10,0,42,0,58,0,0,637,221,0,194,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrocosmicus"
"3",768,115,757,126,2924,195,782,252,952,25,1004,37,531,189,654,470,1374,205,3506,1013,13,130,837,98,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus"
"18",0,169,0,119,0,56,0,0,0,104,0,0,0,124,0,121,0,21,0,0,21,79,0,53,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Candidatus_Symbiobacter"
"36",0,15,0,72,0,24,0,0,0,11,0,0,0,8,0,27,0,8,0,0,212,17,0,26,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"19",51,0,98,0,36,0,99,44,100,0,88,17,64,0,69,0,71,0,49,40,0,0,36,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Cohaesibacter"
